year,batter,runs_scored,balls_faced,boundaries,dot_balls,wickets,sixes,fours,strike_rate,boundary_percentage,dot_ball_percentage,six_percentage,four_percentage,average
2007,YV Takawale,70,69,9,32,2,2,7,101.44927536231884,13.043478260869565,46.3768115942029,2.898550724637681,10.144927536231885,35.0
2007,Younis Khan,3,7,0,4,1,0,0,42.857142857142854,0.0,57.14285714285714,0.0,0.0,3.0
2007,Yuvraj Singh,299,191,43,60,12,19,24,156.54450261780104,22.5130890052356,31.413612565445025,9.947643979057592,12.56544502617801,24.916666666666668
2007,Z Khan,34,43,4,21,4,0,4,79.06976744186046,9.30232558139535,48.837209302325576,0.0,9.30232558139535,8.5
2009,A Chopra,11,20,2,13,1,0,2,55.00000000000001,10.0,65.0,0.0,10.0,11.0
2009,A Flintoff,62,57,7,17,2,2,5,108.77192982456141,12.280701754385964,29.82456140350877,3.508771929824561,8.771929824561402,31.0
2009,A Kumble,22,32,2,13,1,0,2,68.75,6.25,40.625,0.0,6.25,22.0
2009,A Mishra,65,74,5,25,6,2,3,87.83783783783784,6.756756756756757,33.78378378378378,2.7027027027027026,4.054054054054054,10.833333333333334
2009,A Mithun,5,4,1,2,1,0,1,125.0,25.0,50.0,0.0,25.0,5.0
2009,A Nehra,24,21,3,8,1,1,2,114.28571428571428,14.285714285714285,38.095238095238095,4.761904761904762,9.523809523809524,24.0
2009,A Singh,1,3,0,2,1,0,0,33.33333333333333,0.0,66.66666666666666,0.0,0.0,1.0
2009,A Symonds,678,527,79,171,21,29,50,128.6527514231499,14.990512333965844,32.44781783681214,5.502846299810247,9.487666034155598,32.285714285714285
2009,A Uniyal,4,7,0,3,1,0,0,57.14285714285714,0.0,42.857142857142854,0.0,0.0,4.0
2009,AA Bilakhia,69,88,5,36,5,0,5,78.4090909090909,5.681818181818182,40.909090909090914,0.0,5.681818181818182,13.8
2009,AA Jhunjhunwala,183,172,20,62,10,4,16,106.3953488372093,11.627906976744185,36.04651162790697,2.3255813953488373,9.30232558139535,18.3
2009,AB Agarkar,106,88,10,24,3,3,7,120.45454545454545,11.363636363636363,27.27272727272727,3.4090909090909087,7.954545454545454,35.333333333333336
2009,AB Barath,42,43,6,20,2,1,5,97.67441860465115,13.953488372093023,46.51162790697674,2.3255813953488373,11.627906976744185,21.0
2009,AB Dinda,2,4,0,3,3,0,0,50.0,0.0,75.0,0.0,0.0,0.6666666666666666
2009,AB McDonald,68,58,5,13,1,2,3,117.24137931034481,8.620689655172415,22.413793103448278,3.4482758620689653,5.172413793103448,68.0
2009,AB de Villiers,576,482,58,148,16,12,46,119.50207468879668,12.033195020746888,30.70539419087137,2.4896265560165975,9.54356846473029,36.0
2009,AC Gilchrist,784,537,130,216,33,45,85,145.99627560521415,24.20856610800745,40.22346368715084,8.379888268156424,15.828677839851025,23.757575757575758
2009,AC Voges,181,143,18,38,6,3,15,126.57342657342659,12.587412587412588,26.573426573426573,2.097902097902098,10.48951048951049,30.166666666666668
2009,AD Mascarenhas,51,50,4,15,6,0,4,102.0,8.0,30.0,0.0,8.0,8.5
2009,AD Mathews,249,211,28,64,7,8,20,118.0094786729858,13.270142180094787,30.33175355450237,3.7914691943127963,9.47867298578199,35.57142857142857
2009,AG Paunikar,0,1,0,1,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2009,AJ Finch,21,21,1,7,1,1,0,100.0,4.761904761904762,33.33333333333333,4.761904761904762,0.0,21.0
2009,AM Nayar,251,206,27,66,12,9,18,121.84466019417475,13.106796116504855,32.038834951456316,4.368932038834951,8.737864077669903,20.916666666666668
2009,AM Rahane,144,128,15,36,6,3,12,112.5,11.71875,28.125,2.34375,9.375,24.0
2009,AN Ahmed,4,8,0,3,0,0,0,50.0,0.0,37.5,0.0,0.0,
2009,AN Ghosh,7,8,1,5,2,0,1,87.5,12.5,62.5,0.0,12.5,3.5
2009,AP Dole,34,23,4,6,2,1,3,147.82608695652172,17.391304347826086,26.08695652173913,4.3478260869565215,13.043478260869565,17.0
2009,AP Tare,50,41,8,19,4,3,5,121.95121951219512,19.51219512195122,46.34146341463415,7.317073170731707,12.195121951219512,12.5
2009,AS Raut,134,113,14,40,7,6,8,118.58407079646018,12.389380530973451,35.39823008849557,5.3097345132743365,7.079646017699115,19.142857142857142
2009,AT Rayudu,356,258,47,69,12,13,34,137.984496124031,18.217054263565892,26.744186046511626,5.038759689922481,13.178294573643413,29.666666666666668
2009,Anirudh Singh,63,69,7,31,4,1,6,91.30434782608695,10.144927536231885,44.927536231884055,1.4492753623188406,8.695652173913043,15.75
2009,B Akhil,17,16,2,8,3,1,1,106.25,12.5,50.0,6.25,6.25,5.666666666666667
2009,B Lee,39,46,4,18,3,1,3,84.78260869565217,8.695652173913043,39.130434782608695,2.1739130434782608,6.521739130434782,13.0
2009,B Sumanth,35,38,3,14,1,0,3,92.10526315789474,7.894736842105263,36.84210526315789,0.0,7.894736842105263,35.0
2009,BAW Mendis,1,2,0,1,1,0,0,50.0,0.0,50.0,0.0,0.0,1.0
2009,BB McCullum,400,365,55,155,15,14,41,109.58904109589041,15.068493150684931,42.465753424657535,3.8356164383561646,11.232876712328768,26.666666666666668
2009,BJ Hodge,464,412,55,150,14,10,45,112.62135922330097,13.349514563106796,36.407766990291265,2.4271844660194173,10.922330097087379,33.142857142857146
2009,Bipul Sharma,9,7,1,1,0,0,1,128.57142857142858,14.285714285714285,14.285714285714285,0.0,14.285714285714285,
2009,C Madan,15,21,3,12,1,0,3,71.42857142857143,14.285714285714285,57.14285714285714,0.0,14.285714285714285,15.0
2009,C Nanda,0,1,0,1,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2009,CA Pujara,122,119,17,50,4,3,14,102.52100840336134,14.285714285714285,42.016806722689076,2.5210084033613445,11.76470588235294,30.5
2009,CH Gayle,476,356,74,135,16,26,48,133.7078651685393,20.786516853932586,37.92134831460674,7.303370786516854,13.48314606741573,29.75
2009,CK Langeveldt,0,1,0,1,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2009,CL White,48,33,6,11,2,3,3,145.45454545454547,18.181818181818183,33.33333333333333,9.090909090909092,9.090909090909092,24.0
2009,CRD Fernando,2,2,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,
2009,D du Preez,10,13,0,5,1,0,0,76.92307692307693,0.0,38.46153846153847,0.0,0.0,10.0
2009,DA Warner,445,332,62,122,17,19,43,134.03614457831324,18.67469879518072,36.74698795180723,5.72289156626506,12.951807228915662,26.176470588235293
2009,DB Ravi Teja,65,71,7,27,4,0,7,91.54929577464789,9.859154929577464,38.028169014084504,0.0,9.859154929577464,16.25
2009,DE Bollinger,18,17,2,6,0,1,1,105.88235294117648,11.76470588235294,35.294117647058826,5.88235294117647,5.88235294117647,
2009,DJ Bravo,279,264,30,111,15,12,18,105.68181818181819,11.363636363636363,42.04545454545455,4.545454545454546,6.8181818181818175,18.6
2009,DJ Hussey,192,150,23,48,7,11,12,128.0,15.333333333333332,32.0,7.333333333333333,8.0,27.428571428571427
2009,DL Vettori,67,60,7,13,3,0,7,111.66666666666667,11.666666666666666,21.666666666666668,0.0,11.666666666666666,22.333333333333332
2009,DP Nannes,4,13,0,9,1,0,0,30.76923076923077,0.0,69.23076923076923,0.0,0.0,4.0
2009,DPMD Jayawardene,664,484,91,134,19,19,72,137.19008264462812,18.801652892561986,27.685950413223143,3.925619834710744,14.87603305785124,34.94736842105263
2009,DR Martyn,19,26,1,8,2,0,1,73.07692307692307,3.8461538461538463,30.76923076923077,0.0,3.8461538461538463,9.5
2009,DR Smith,237,159,29,48,10,16,13,149.0566037735849,18.238993710691823,30.18867924528302,10.062893081761008,8.176100628930817,23.7
2009,DS Kulkarni,9,18,0,7,2,0,0,50.0,0.0,38.88888888888889,0.0,0.0,4.5
2009,DW Steyn,13,20,2,12,5,0,2,65.0,10.0,60.0,0.0,10.0,2.6
2009,EJG Morgan,35,31,3,9,3,1,2,112.90322580645163,9.67741935483871,29.03225806451613,3.225806451612903,6.451612903225806,11.666666666666666
